date,day,aircraft,helicopter,tank,APC,field artillery,MRL,military auto,fuel tank,drone,naval ship,anti-aircraft warfare,special equipment,mobile SRBM system,greatest losses direction,vehicles and fuel tanks,cruise missiles,submarines,personnel
2025-01-16,1058,369,331,9791,20368,22015,1262,0,0,22503,28,1046,3697,0,0,34132,3049,1,814150
2025-01-15,1057,369,331,9780,20348,21975,1262,0,0,22383,28,1046,3696,0,0,33995,3018,1,812670
2025-01-14,1056,369,331,9767,20326,21923,1262,0,0,22276,28,1044,3696,0,0,33791,3018,1,811090
2025-01-13,1055,369,331,9764,20315,21876,1261,0,0,22204,28,1044,3695,0,0,33708,3018,1,809760
2025-01-12,1054,369,331,9756,20289,21839,1260,0,0,22021,28,1042,3694,0,0,33598,3018,1,808250
2025-01-11,1053,369,331,9751,20271,21817,1260,0,0,21958,28,1042,3692,0,0,33534,3017,1,806500
2025-01-10,1052,369,331,9741,20253,21789,1260,0,0,21884,28,1041,3689,0,0,33473,3017,1,804930
2025-01-09,1051,369,331,9731,20221,21765,1260,0,0,21813,28,1038,3686,0,0,33387,3014,1,803100
2025-01-08,1050,369,331,9714,20205,21729,1260,0,0,21727,28,1038,3681,0,0,33307,3014,1,801670
2025-01-07,1049,369,331,9710,20189,21710,1260,0,0,21708,28,1038,3681,0,0,33226,3014,1,800010
2025-01-06,1048,369,331,9700,20164,21665,1258,0,0,21625,28,1034,3681,0,0,33056,3006,1,798040
2025-01-05,1047,369,331,9686,20119,21603,1257,0,0,21447,28,1032,3677,0,0,32940,3006,1,796490
2025-01-04,1046,369,331,9679,20093,21578,1257,0,0,21356,28,1032,3675,0,0,32843,3006,1,794760
2025-01-03,1045,369,330,9677,20070,21555,1257,0,0,21249,28,1032,3675,0,0,32770,3003,1,793250
2025-01-02,1044,369,330,9676,20056,21552,1256,0,0,21200,28,1032,3675,0,0,32729,3003,1,792170
2025-01-01,1043,369,330,9672,20043,21532,1256,0,0,21131,28,1032,3672,0,0,32675,3003,1,790800
2024-12-31,1042,369,329,9668,20030,21528,1256,0,0,21081,28,1032,3671,0,0,32626,3003,1,789550
2024-12-30,1041,369,329,9663,20003,21494,1256,0,0,21069,28,1032,3670,0,0,32551,3003,1,787940
2024-12-29,1040,369,329,9656,19981,21450,1256,0,0,21038,28,1032,3670,0,0,32410,3003,1,785930
2024-12-28,1039,369,329,9651,19970,21408,1256,0,0,21013,28,1032,3668,0,0,32328,3003,1,784200
2024-12-27,1038,369,329,9644,19951,21379,1256,0,0,20999,28,1032,3668,0,0,32262,3003,1,782510
2024-12-26,1037,369,329,9630,19933,21357,1256,0,0,20971,28,1031,3667,0,0,32180,3003,1,780860
2024-12-25,1036,369,329,9628,19923,21333,1256,0,0,20908,28,1030,3667,0,0,32117,2948,1,779320
2024-12-24,1035,369,329,9624,19915,21323,1256,0,0,20834,28,1030,3667,0,0,32086,2948,1,777720
2024-12-23,1034,369,329,9615,19885,21313,1256,0,0,20790,28,1030,3664,0,0,32039,2948,1,776090
2024-12-22,1033,369,329,9609,19870,21284,1256,0,0,20735,28,1030,3662,0,0,31972,2947,1,774100
2024-12-21,1032,369,329,9594,19841,21252,1256,0,0,20685,28,1027,3662,0,0,31891,2947,1,772280
2024-12-20,1031,369,329,9584,19823,21220,1256,0,0,20600,28,1027,3662,0,0,31793,2943,1,770420
2024-12-19,1030,369,329,9576,19799,21178,1256,0,0,20521,28,1026,3656,0,0,31678,2943,1,768220
2024-12-18,1029,369,329,9571,19772,21164,1256,0,0,20470,28,1025,3652,0,0,31610,2943,1,766690
2024-12-17,1028,369,329,9567,19751,21159,1256,0,0,20406,28,1025,3650,0,0,31550,2943,1,765110
2024-12-16,1027,369,329,9563,19736,21151,1256,0,0,20372,28,1025,3650,0,0,31480,2943,1,763510
2024-12-15,1026,369,329,9551,19707,21128,1256,0,0,20356,28,1025,3648,0,0,31398,2943,1,762440
2024-12-14,1025,369,329,9539,19675,21102,1253,0,0,20229,28,1023,3644,0,0,31217,2861,1,761160
2024-12-13,1024,369,329,9537,19675,21078,1253,0,0,20176,28,1023,3642,0,0,31177,2861,1,760120
2024-12-12,1023,369,329,9532,19644,21072,1253,0,0,20111,28,1023,3642,0,0,31127,2861,1,758730
2024-12-11,1022,369,329,9526,19616,21067,1253,0,0,20111,28,1023,3641,0,0,31073,2859,1,757340
2024-12-10,1021,369,329,9524,19596,21064,1253,0,0,20107,28,1023,3637,0,0,31037,2859,1,755940
2024-12-09,1020,369,329,9519,19589,21061,1253,0,0,20093,28,1023,3636,0,0,30989,2859,1,754590
2024-12-08,1019,369,329,9519,19571,21058,1253,0,0,20071,28,1023,3635,0,0,30965,2857,1,753370
2024-12-07,1018,369,329,9514,19535,21055,1253,0,0,20042,28,1022,3633,0,0,30948,2857,1,751910
2024-12-06,1017,369,329,9514,19518,21043,1253,0,0,20023,28,1020,3633,0,0,30899,2857,1,750610
2024-12-05,1016,369,329,9506,19472,21023,1253,0,0,19977,28,1020,3630,0,0,30843,2855,1,748950
2024-12-04,1015,369,329,9493,19450,21002,1253,0,0,19946,28,1020,3628,0,0,30746,2855,1,747370
2024-12-03,1014,369,329,9486,19419,20976,1253,0,0,19917,28,1019,3627,0,0,30666,2855,1,745700
2024-12-02,1013,369,329,9478,19397,20953,1253,0,0,19886,28,1019,3619,0,0,30606,2852,1,743920
2024-12-01,1012,369,329,9469,19369,20923,1253,0,0,19803,28,1019,3619,0,0,30507,2852,1,742130
2024-11-30,1011,369,329,9463,19355,20909,1253,0,0,19792,28,1019,3617,0,0,30431,2851,1,740400
2024-11-29,1010,369,329,9458,19339,20886,1255,0,0,19750,28,1006,3700,0,0,30272,2851,1,738660
2024-11-28,1009,369,329,9450,19306,20852,1255,0,0,19661,28,1005,3697,0,0,30186,2765,1,736630
2024-11-27,1008,369,329,9449,19304,20830,1255,0,0,19616,28,1005,3687,0,0,30126,2765,1,735410
2024-11-26,1007,369,329,9435,19256,20806,1254,0,0,19552,28,1004,3683,0,0,30042,2765,1,733830
2024-11-25,1006,369,329,9429,19236,20787,1254,0,0,19480,28,1004,3681,0,0,29948,2764,1,732350
2024-11-24,1005,369,329,9423,19209,20765,1254,0,0,19366,28,1004,3679,0,0,29864,2764,1,730740
2024-11-23,1004,369,329,9419,19192,20760,1254,0,0,19365,28,1004,3678,0,0,29850,2764,1,729720
2024-11-22,1003,369,329,9399,19156,20736,1254,0,0,19260,28,1004,3675,0,0,29777,2764,1,728300
2024-11-21,1002,369,329,9398,19143,20731,1253,0,0,19259,28,1003,3674,0,0,29745,2756,1,727250
2024-11-20,1001,369,329,9390,19119,20681,1252,0,0,19202,28,1001,3674,0,0,29648,2756,1,725740
2024-11-19,1000,369,329,9382,19092,20632,1252,0,0,19111,28,999,3672,0,0,29548,2754,1,724050
2024-11-18,999,369,329,9365,19059,20586,1252,0,0,19073,28,999,3655,0,0,29428,2753,1,722440
2024-11-17,998,369,329,9350,19021,20556,1252,0,0,18974,28,999,3653,0,0,29321,2641,1,720880
2024-11-16,997,369,329,9338,18994,20520,1252,0,0,18914,28,999,3651,0,0,29236,2641,1,719240
2024-11-15,996,369,329,9330,18968,20492,1252,0,0,18886,28,999,3645,0,0,29167,2641,1,717590
2024-11-14,995,369,329,9319,18947,20472,1252,0,0,18852,28,997,3629,0,0,29090,2640,1,716070
2024-11-13,994,369,329,9300,18896,20408,1249,0,0,18798,28,996,3629,0,0,28966,2636,1,714380
2024-11-12,993,369,329,9276,18847,20352,1249,0,0,18737,28,996,3626,0,0,28870,2636,1,712610
2024-11-11,992,369,329,9253,18766,20314,1245,0,0,18676,28,996,3620,0,0,28802,2636,1,710660
2024-11-10,991,369,329,9249,18726,20280,1245,0,0,18619,28,996,3604,0,0,28683,2634,1,708890
2024-11-09,990,369,329,9238,18697,20249,1245,0,0,18575,28,996,3604,0,0,28561,2634,1,707540
2024-11-08,989,369,329,9233,18661,20226,1245,0,0,18526,28,996,3602,0,0,28495,2631,1,705880
2024-11-07,988,369,329,9224,18612,20194,1245,0,0,18408,28,996,3596,0,0,28411,2631,1,704300
2024-11-06,987,369,329,9214,18592,20170,1245,0,0,18366,28,996,3588,0,0,28333,2631,1,702900
2024-11-05,986,369,329,9208,18581,20150,1245,0,0,18309,28,996,3587,0,0,28278,2631,1,701650
2024-11-04,985,369,329,9193,18538,20121,1245,0,0,18280,28,994,3587,0,0,28237,2629,1,700390
2024-11-03,984,369,329,9182,18523,20086,1244,0,0,18187,28,994,3584,0,0,28160,2629,1,699090
2024-11-02,983,369,329,9170,18487,20076,1244,0,0,18117,28,994,3583,0,0,28114,2628,1,697680
2024-11-01,982,369,329,9162,18470,20039,1244,0,0,18088,28,994,3579,0,0,28028,2628,1,696410
2024-10-31,981,369,329,9156,18450,20013,1243,0,0,18063,28,994,3570,0,0,27961,2627,1,694950
2024-10-30,980,369,329,9137,18433,19955,1242,0,0,17979,28,986,3567,0,0,27840,2625,1,693640
2024-10-29,979,369,329,9129,18404,19917,1241,0,0,17939,28,984,3566,0,0,27749,2625,1,692080
2024-10-28,978,369,329,9120,18395,19872,1240,0,0,17867,28,984,3556,0,0,27660,2625,1,690720
2024-10-27,977,369,329,9113,18355,19821,1240,0,0,17799,28,984,3542,0,0,27560,2625,1,689040
2024-10-26,976,369,329,9109,18332,19782,1240,0,0,17726,28,984,3541,0,0,27460,2625,1,687600
2024-10-25,975,369,329,9097,18287,19753,1238,0,0,17670,28,982,3535,0,0,27365,2625,1,685910
2024-10-24,974,369,329,9090,18254,19719,1236,0,0,17597,28,981,3513,0,0,27286,2625,1,684280
2024-10-23,973,369,329,9088,18229,19674,1234,0,0,17489,28,981,3509,0,0,27217,2625,1,683040
2024-10-22,972,369,329,9079,18199,19623,1234,0,0,17404,28,981,3499,0,0,27111,2625,1,681580
2024-10-21,971,369,329,9071,18175,19589,1232,0,0,17333,28,979,3479,0,0,27034,2624,1,680230
2024-10-20,970,369,329,9047,18111,19565,1232,0,0,17287,28,978,3476,0,0,26987,2624,1,678520
2024-10-19,969,369,329,9035,18072,19548,1232,0,0,17230,28,978,3473,0,0,26946,2623,1,677180
2024-10-18,968,369,329,9027,18053,19533,1232,0,0,17152,28,978,3448,0,0,26908,2620,1,675800
2024-10-17,967,369,329,9014,18002,19510,1232,0,0,17104,28,978,3446,0,0,26815,2620,1,674270
2024-10-16,966,369,329,8997,17969,19459,1231,0,0,17050,28,978,3441,0,0,26732,2620,1,672850
2024-10-15,965,369,329,8988,17939,19430,1231,0,0,17019,28,978,3441,0,0,26654,2620,1,671400
2024-10-14,964,369,329,8975,17895,19421,1231,0,0,17009,28,978,3437,0,0,26622,2619,1,670190
2024-10-13,963,369,329,8971,17876,19410,1231,0,0,16992,28,978,3435,0,0,26584,2619,1,668930
2024-10-12,962,369,329,8962,17827,19381,1230,0,0,16947,28,976,3434,0,0,26513,2619,1,667630
2024-10-11,961,369,329,8953,17800,19322,1229,0,0,16837,28,976,3396,0,0,26398,2619,1,666340
2024-10-10,960,369,328,8945,17765,19263,1225,0,0,16767,28,976,3386,0,0,26314,2619,1,665200
2024-10-09,959,369,328,8944,17751,19222,1223,0,0,16718,28,973,3385,0,0,26240,2618,1,664120
2024-10-08,958,368,328,8940,17740,19203,1223,0,0,16686,28,973,3373,0,0,26185,2618,1,662970
2024-10-07,957,368,328,8933,17710,19156,1223,0,0,16643,28,972,3364,0,0,26102,2615,1,661630
2024-10-06,956,368,328,8919,17679,19092,1216,0,0,16578,28,970,3363,0,0,26006,2613,1,660470
2024-10-05,955,368,328,8916,17658,19037,1216,0,0,16529,28,970,3344,0,0,25905,2613,1,659220
2024-10-04,954,368,328,8908,17627,18965,1212,0,0,16494,28,965,3333,0,0,25820,2613,1,657940
2024-10-03,953,368,328,8893,17596,18906,1204,0,0,16393,28,964,3330,0,0,25750,2613,1,656710
2024-10-02,952,369,328,8887,17579,18869,1204,0,0,16348,28,963,3318,0,0,25692,2613,1,655560
2024-10-01,951,369,328,8883,17547,18855,1204,0,0,16322,28,963,3314,0,0,25621,2613,1,654430
2024-09-30,950,369,328,8874,17503,18822,1204,0,0,16224,28,963,3313,0,0,25548,2610,1,653060
2024-09-29,949,369,328,8869,17476,18795,1204,0,0,16186,28,962,3297,0,0,25495,2610,1,651810
2024-09-28,948,369,328,8860,17438,18733,1203,0,0,16093,28,961,3291,0,0,25411,2610,1,650640
2024-09-27,947,369,328,8846,17396,18678,1199,0,0,16031,28,961,3192,0,0,25411,2608,1,649170
2024-09-26,946,369,328,8825,17344,18620,1199,0,0,15946,28,959,3190,0,0,25353,2599,1,647800
2024-09-25,945,369,328,8815,17304,18549,1199,0,0,15879,28,952,3168,0,0,25248,2595,1,646400
2024-09-24,944,369,328,8800,17292,18475,1198,0,0,15764,28,952,3155,0,0,25175,2595,1,645150
2024-09-23,943,369,328,8784,17252,18414,1197,0,0,15699,28,949,3145,0,0,25102,2595,1,643750
2024-09-22,942,369,328,8768,17222,18333,1195,0,0,15628,28,949,3144,0,0,25023,2595,1,642420
2024-09-21,941,369,328,8746,17170,18270,1193,0,0,15561,28,949,3125,0,0,24966,2593,1,640920
2024-09-20,940,369,328,8725,17132,18212,1189,0,0,15469,28,949,3115,0,0,24898,2593,1,639480
2024-09-19,939,369,328,8705,17093,18177,1189,0,0,15417,28,947,3109,0,0,24839,2592,1,638140
2024-09-18,938,369,328,8691,17080,18154,1188,0,0,15354,28,947,3109,0,0,24784,2592,1,637010
2024-09-17,937,369,328,8685,17077,18129,1188,0,0,15329,28,947,3091,0,0,24739,2592,1,635880
2024-09-16,936,369,328,8683,17071,18123,1187,0,0,15263,28,947,3090,0,0,24712,2592,1,634860
2024-09-15,935,369,328,8680,17063,18109,1186,0,0,15234,28,947,3084,0,0,24684,2592,1,633800
2024-09-14,934,369,328,8674,17043,18086,1186,0,0,15149,28,946,3084,0,0,24631,2591,1,632630
2024-09-13,933,369,328,8671,17003,18061,1185,0,0,15113,28,945,3071,0,0,24560,2591,1,631420
2024-09-12,932,369,328,8653,16955,18009,1184,0,0,15033,28,945,3061,0,0,24481,2591,1,630200
2024-09-11,931,368,328,8642,16938,17936,1182,0,0,14990,28,943,3059,0,0,24388,2591,1,628930
2024-09-10,930,368,328,8640,16925,17880,1180,0,0,14933,28,942,3053,0,0,24330,2591,1,627790
2024-09-09,929,368,328,8639,16906,17830,1180,0,0,14897,28,942,3049,0,0,24262,2588,1,626410
2024-09-08,928,368,328,8636,16897,17804,1180,0,0,14864,28,942,3047,0,0,24218,2588,1,625260
2024-09-07,927,368,328,8632,16878,17774,1178,0,0,14784,28,942,3037,0,0,24171,2588,1,623990
2024-09-06,926,368,328,8631,16878,17745,1178,0,0,14732,28,941,3037,0,0,24116,2587,1,622720
2024-09-05,925,368,328,8624,16869,17725,1177,0,0,14658,28,940,3024,0,0,24044,2587,1,621550
2024-09-04,924,368,328,8618,16848,17694,1177,0,0,14616,28,940,3014,0,0,24007,2580,1,620350
2024-09-03,923,368,328,8611,16821,17664,1177,0,0,14573,28,940,3002,0,0,23972,2578,1,618960
2024-09-02,922,368,328,8601,16786,17646,1177,0,0,14537,28,940,2993,0,0,23925,2557,1,617600
2024-09-01,921,368,328,8592,16760,17636,1176,0,0,14507,28,940,2991,0,0,23881,2557,1,616300
2024-08-31,920,368,328,8582,16736,17614,1176,0,0,14471,28,940,2977,0,0,23825,2557,1,614950
2024-08-30,919,368,328,8574,16722,17572,1175,0,0,14453,28,940,2967,0,0,23763,2556,1,613590
2024-08-29,918,368,328,8571,16699,17549,1174,0,0,14369,28,939,2965,0,0,23706,2556,1,612390
2024-08-28,917,368,328,8568,16681,17522,1174,0,0,14348,28,938,2950,0,0,23654,2553,1,611190
2024-08-27,916,367,328,8563,16667,17495,1173,0,0,14254,28,937,2944,0,0,23613,2547,1,610100
2024-08-26,915,367,328,8551,16648,17443,1172,0,0,14134,28,937,2941,0,0,23555,2444,1,608820
2024-08-25,914,367,328,8547,16631,17396,1171,0,0,14095,28,936,2928,0,0,23475,2444,1,607680
2024-08-24,913,367,328,8542,16620,17349,1169,0,0,14064,28,935,2911,0,0,23383,2444,1,606490
2024-08-23,912,367,328,8533,16599,17307,1167,0,0,14025,28,932,2910,0,0,23329,2442,1,605330
2024-08-22,911,367,328,8529,16567,17262,1166,0,0,13998,28,931,2904,0,0,23280,2442,1,604140
2024-08-21,910,367,328,8522,16542,17216,1166,0,0,13902,28,928,2887,0,0,23221,2442,1,603010
2024-08-20,909,367,328,8518,16521,17156,1166,0,0,13864,28,926,2885,0,0,23142,2438,1,601800
2024-08-19,908,367,328,8513,16495,17104,1165,0,0,13809,28,925,2863,0,0,23047,2437,1,600470
2024-08-18,907,367,328,8508,16480,17056,1161,0,0,13752,28,923,2846,0,0,22992,2432,1,599350
2024-08-17,906,367,328,8501,16473,16985,1160,0,0,13714,28,923,2844,0,0,22913,2432,1,598180
2024-08-16,905,367,328,8496,16461,16927,1159,0,0,13659,28,922,2829,0,0,22848,2429,1,596950
2024-08-15,904,367,328,8484,16426,16868,1154,0,0,13598,28,922,2813,0,0,22775,2428,1,595620
2024-08-14,903,366,328,8476,16402,16821,1151,0,0,13548,28,921,2813,0,0,22710,2426,1,594400
2024-08-13,902,366,328,8455,16385,16764,1146,0,0,13491,28,920,2806,0,0,22649,2426,1,593160
2024-08-12,901,366,328,8450,16368,16728,1146,0,0,13472,28,919,2801,0,0,22590,2426,1,592000
2024-08-11,900,366,328,8447,16363,16663,1143,0,0,13399,28,918,2800,0,0,22524,2425,1,590920
2024-08-10,899,366,327,8441,16350,16605,1143,0,0,13372,28,918,2789,0,0,22453,2425,1,589700
2024-08-09,898,366,327,8434,16341,16536,1142,0,0,13325,28,916,2769,0,0,22371,2424,1,588540
2024-08-08,897,366,327,8431,16332,16487,1142,0,0,13293,28,914,2767,0,0,22285,2424,1,587510
2024-08-07,896,365,326,8429,16323,16451,1138,0,0,13212,28,910,2759,0,0,22226,2421,1,586370
2024-08-06,895,365,326,8421,16294,16384,1138,0,0,13158,28,910,2738,0,0,22148,2420,1,585140
2024-08-05,894,365,326,8417,16286,16345,1138,0,0,13122,28,910,2737,0,0,22094,2414,1,584090
2024-08-04,893,363,326,8411,16255,16276,1138,0,0,13103,28,911,2734,0,0,22006,2412,1,582910
2024-08-03,892,363,326,8406,16238,16217,1135,0,0,13057,28,908,2723,0,0,21926,2410,1,581760
2024-08-02,891,363,326,8402,16211,16161,1134,0,0,13005,28,907,2719,0,0,21872,2407,1,580590
2024-08-01,890,363,326,8399,16203,16119,1132,0,0,12968,28,907,2713,0,0,21816,2407,1,579490
2024-07-31,889,363,326,8390,16161,16086,1131,0,0,12853,28,907,2697,0,0,21739,2407,1,578120
2024-07-30,888,363,326,8381,16141,16056,1130,0,0,12832,28,906,2696,0,0,21687,2406,1,577060
2024-07-29,887,363,326,8356,16103,16010,1129,0,0,12805,28,906,2690,0,0,21634,2406,1,576000
2024-07-28,886,363,326,8344,16095,15936,1127,0,0,12766,28,906,2671,0,0,21572,2405,1,574690
2024-07-27,885,363,326,8331,16074,15885,1125,0,0,12736,28,905,2671,0,0,21500,2403,1,573510
2024-07-26,884,363,326,8320,16050,15840,1125,0,0,12683,28,904,2668,0,0,21414,2402,1,572300
2024-07-25,883,363,326,8313,16039,15804,1125,0,0,12610,28,904,2661,0,0,21358,2402,1,571350
2024-07-24,882,363,326,8302,16013,15759,1125,0,0,12544,28,902,2650,0,0,21279,2402,1,570120
2024-07-23,881,362,326,8288,16000,15694,1125,0,0,12511,28,901,2640,0,0,21202,2401,1,568980
2024-07-22,880,362,326,8284,15980,15637,1123,0,0,12475,28,900,2637,0,0,21138,2401,1,567760
2024-07-21,879,362,326,8266,15963,15586,1121,0,0,12402,28,896,2616,0,0,21036,2401,1,566710
2024-07-20,878,362,326,8257,15917,15542,1121,0,0,12350,28,895,2607,0,0,20968,2401,1,565610
2024-07-19,877,361,326,8250,15902,15520,1120,0,0,12316,28,894,2593,0,0,20909,2401,1,564620
2024-07-18,876,361,326,8245,15883,15465,1120,0,0,12274,28,893,2593,0,0,20833,2398,1,563640
2024-07-17,875,361,326,8238,15871,15411,1120,0,0,12224,28,893,2586,0,0,20741,2398,1,562510
2024-07-16,874,361,326,8227,15862,15368,1119,0,0,12193,28,892,2577,0,0,20680,2398,1,561400
2024-07-15,873,361,326,8214,15826,15324,1119,0,0,12148,28,892,2569,0,0,20623,2398,1,560290
2024-07-14,872,361,326,8206,15811,15262,1119,0,0,12108,28,890,2566,0,0,20538,2397,1,559090
2024-07-13,871,361,326,8199,15779,15216,1119,0,0,12069,28,889,2556,0,0,20461,2397,1,557770
2024-07-12,870,361,326,8191,15755,15158,1119,0,0,12035,28,888,2543,0,0,20409,2397,1,556650
2024-07-11,869,361,326,8182,15732,15110,1119,0,0,12009,28,886,2535,0,0,20325,2392,1,555620
2024-07-10,868,361,326,8180,15715,15051,1115,0,0,11973,28,883,2531,0,0,20269,2389,1,554510
